[2025-03-26 02:00:41,820] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.043s: similarity=0.0054
[2025-03-26 02:00:41,821] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,863] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.042s: similarity=0.0215
[2025-03-26 02:00:41,864] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,892] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.028s: similarity=0.7849
[2025-03-26 02:00:41,893] [INFO] apps.images.services.detection_service: ORB candidate found: Image ID=21, similarity=0.7849
[2025-03-26 02:00:41,894] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:00:41,921] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.027s: similarity=0.0591
[2025-03-26 02:00:41,922] [INFO] apps.images.services.detection_service: Top ORB similarities: [{'image_id': 21, 'similarity': 0.7849462365591398}, {'image_id': 11, 'similarity': 0.21505376344086022}, {'image_id': 1, 'similarity': 0.15053763440860216}, {'image_id': 5, 'similarity': 0.15053763440860216}, {'image_id': 6, 'similarity': 0.14516129032258066}, {'image_id': 12, 'similarity': 0.12365591397849462}, {'image_id': 15, 'similarity': 0.11827956989247312}, {'image_id': 8, 'similarity': 0.10752688172043011}, {'image_id': 9, 'similarity': 0.10752688172043011}, {'image_id': 3, 'similarity': 0.07526881720430108}]
[2025-03-26 02:00:41,923] [INFO] apps.images.services.detection_service: Found 1 ORB candidates for SIFT verification
[2025-03-26 02:00:41,923] [INFO] apps.images.services.detection_service: Starting SIFT feature extraction
[2025-03-26 02:00:41,930] [INFO] apps.images.services.detection_service: SIFT feature extraction completed in 0.007s: 104 keypoints extracted
[2025-03-26 02:00:41,931] [INFO] apps.images.services.detection_service: Starting SIFT verification with threshold 0.45
[2025-03-26 02:00:41,931] [INFO] apps.images.services.detection_service: Starting SIFT feature comparison
[2025-03-26 02:00:41,961] [INFO] apps.images.services.detection_service: SIFT comparison completed in 0.029s: similarity=0.6635
[2025-03-26 02:00:41,962] [INFO] apps.images.services.detection_service: SIFT similarity with image 21: 0.6635
[2025-03-26 02:00:41,963] [WARNING] apps.images.services.detection_service: Similar image found: ID=21 with SIFT similarity 0.6635
[2025-03-26 02:00:41,963] [INFO] apps.images.services.detection_service: Image similarity verification completed in 12.169s: Similar image found
[2025-03-26 02:01:39,757] [INFO] apps.images.services.detection_service: Starting SHA256 calculation
[2025-03-26 02:01:39,758] [INFO] apps.images.services.detection_service: Starting SHA256 hash calculation
[2025-03-26 02:01:39,758] [INFO] apps.images.services.detection_service: SHA256 hash calculation completed in 0.000s: 8d6043b8f0...
[2025-03-26 02:01:39,764] [INFO] apps.images.services.detection_service: Starting image similarity verification
[2025-03-26 02:01:39,765] [INFO] apps.images.services.detection_service: Starting SHA256 calculation
[2025-03-26 02:01:39,765] [INFO] apps.images.services.detection_service: Starting SHA256 hash calculation
[2025-03-26 02:01:39,766] [INFO] apps.images.services.detection_service: SHA256 hash calculation completed in 0.001s: 8d6043b8f0...
[2025-03-26 02:01:39,766] [INFO] apps.images.services.detection_service: Image hash: 8d6043b8f0...
[2025-03-26 02:01:39,768] [INFO] apps.images.services.detection_service: Starting ORB feature extraction
[2025-03-26 02:01:39,802] [INFO] apps.images.services.detection_service: ORB feature extraction completed in 0.033s: 1000 keypoints extracted
[2025-03-26 02:01:39,804] [INFO] apps.images.services.detection_service: Comparing against 21 images with ORB features
[2025-03-26 02:01:51,365] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:51,442] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.077s: similarity=0.0360
[2025-03-26 02:01:51,443] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:51,518] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.074s: similarity=0.0320
[2025-03-26 02:01:51,518] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:51,593] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.073s: similarity=0.0440
[2025-03-26 02:01:51,594] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:51,656] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.062s: similarity=0.0029
[2025-03-26 02:01:51,657] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:51,741] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.083s: similarity=0.0337
[2025-03-26 02:01:51,742] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:51,811] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.069s: similarity=0.0253
[2025-03-26 02:01:51,812] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:51,889] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.075s: similarity=0.0260
[2025-03-26 02:01:51,889] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:51,948] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.059s: similarity=0.0041
[2025-03-26 02:01:51,949] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,023] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.074s: similarity=0.0290
[2025-03-26 02:01:52,024] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,096] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.072s: similarity=0.0300
[2025-03-26 02:01:52,097] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,171] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.073s: similarity=0.0070
[2025-03-26 02:01:52,171] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,246] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.073s: similarity=0.0320
[2025-03-26 02:01:52,247] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,321] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.074s: similarity=0.0210
[2025-03-26 02:01:52,322] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
[2025-03-26 02:01:52,403] [INFO] apps.images.services.detection_service: ORB comparison completed in 0.080s: similarity=0.0300
[2025-03-26 02:01:52,404] [INFO] apps.images.services.detection_service: Starting ORB feature comparison
